,Реестровый номер закупки,Наименование закупки,Классификация по ОКПД2,Дата размещения
2853,№32413187114,"Оказание услуг по сопровождению, технической поддержке и сервисному обслуживанию программных продуктов «Катарсис»",62.03.12.130: Услуги по сопровождению компьютерных систем,18.01.2024
2854,№32413176215,"Оказание услуги по адаптации и сопровождению экземпляров систем КонультантПлюс на основе специального лицензионного (сервисного) программного обеспечения, обеспечивающего совместимость(взаимодействие) услуг с ранее установленными в ГАУЗ ""БГССМП"" экземплярами систем КонультантПлюс.",62.03.12.130: Услуги по сопровождению компьютерных систем,15.01.2024
2855,№32413187057,Информационное сопровождение систем Консультант плюс в 2024 году,62.01.29.000: Оригиналы программного обеспечения прочие,18.01.2024
2856,№32413185747,"предоставление права работы на портале АИС ""ДОУ""",63.11.30.000: Место или время для рекламы в информационно-коммуникационной сети Интернет,18.01.2024
2857,№0188300004524000002,Оказание услуг по адаптации и сопровождению справочно–правовой системы «Консультант Плюс»,62.03.12.130: Услуги по сопровождению компьютерных систем,10.01.2024
2858,№32413186942,Обновление и лицензионное обслуживание программного продукта,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,18.01.2024
2859,№32413185697,Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки",18.01.2024
2860,№0384300009224000001,Оказание услуг по сопровождению СЭД «Кодекс: Документооборот»,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",10.01.2024
2861,№32413186787,"Разработка технического задания по настройке программного продукта «Управление недвижимостью и арендой КОРП» для «1С: Бухгалтерия 8 КОРП», «1С: Бухгалтерия КОРП МСФО» и «1С: Управление холдингом» системы «1С:Предприятие» в целях функционирования этих программных продуктов на технических средствах Заказчика в существующей конфигурацию на базе 1С: Бухгалтерия КОРП (не типовая конфигурация.)",62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем,18.01.2024
2862,№32413185645,"Услуги по информационно-технологическому сопровождению и обновлению электронной версии экземпляров справочно-правовой системы ""КонсультантПлюс"" принадлежащих Заказчику экземпляров системы ""КонсультантПлюс""",62.03.12.130: Услуги по сопровождению компьютерных систем,18.01.2024
2863,№32413186710,"Предоставление консультационных услуг по методологии использования, адаптация и модификация программного обеспечения: - 1С Бухгалтерия 8 ПРОФ, ред. 3.0;- 1С Зарплата и управление персоналом 8, редакция 3.1;  -  АС Энерго;- Инфокрафт: Формула ЖКХ. Набор решений для 1С: Предприятие 8;- Такском Спринтер.",62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,18.01.2024
2864,№0191300009924000003,"Оказание услуг по освещению деятельности органов местного самоуправления городского округа ""Город Чита"" в печатных средствах массовой информации.","63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",10.01.2024
2865,№32413186666,Право заключения договора на оказание услуг по сопровождению системы электронного документооборота (СЭДО) для нужд АО «ЦИУС ЕЭС»,62.02.30.000: Услуги по технической поддержке информационных технологий,18.01.2024
2866,№32413186646,Выполнение работ по поддержке сайта СмолГУ,62.02.30.000: Услуги по технической поддержке информационных технологий,18.01.2024
2867,№0191300009924000002,"Оказание услуг по освещению деятельности органов местного самоуправления городского округа ""Город Чита"" в печатных средствах массовой информации.","63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",10.01.2024
2868,№0107300000824000001,"Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",11.01.2024
2869,№32413186605,"ЭС ""Госзаказ"". Тариф Базовый. Простая неисключительная лицензия на использование Базы данных.  2 пользователя. 12 мес",62.03.12.130: Услуги по сопровождению компьютерных систем,18.01.2024
2870,№32413186454,Услуги по сопровождению системы электронного делопроизводства «Кодекс: Документооборот»,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",18.01.2024
2871,№32413185813,"Оказание услуг по предоставлению, сопровождению и обновлению электронной справочно-правовой системы",62.03.12.130: Услуги по сопровождению компьютерных систем,18.01.2024
2872,№0316300092224000001,Оказание услуг по сопровождению ранее установленного электронного периодического справочника «Система ГАРАНТ»,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки",11.01.2024
2873,№0118300010524000001,"Предоставление неисключительных прав использования электронной Базы данных Госфинансы Плюс (простая неисключительная лицензия), содержащей методические и справочные материалы, нормативно-правовые документы по основным направлениям деятельности главного бухгалтера и финансового специалиста государственного и муниципального учреждения для принятия квалифицированных решений по тематике учета, отчетности, бюджетного контроля, применения бюджетной классификации","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",09.01.2024
2874,№0352200003024000001,"Услуги по сопровождению справочной информационной системы «Госфинансы» для КУ ""СРЦН ""Солнышко"" Тюкалинского района"" (Реестровый номер 2024.000451)",62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,09.01.2024
2875,№32413186120,Поставка программного обеспечения для нужд Федерального бюджетного учреждения здравоохранения «Центр гигиены и эпидемиологии в Республике Мордовия»,62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем,18.01.2024
2876,№0346200017924000001,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, установленных у заказчика.",62.03.12.130: Услуги по сопровождению компьютерных систем,09.01.2024
2877,№32413185410,Услуги технической поддержки программного обеспечения «Каскад»  ,"62.02: Услуги консультативные, связанные с компьютерной техникой",18.01.2024
2878,№0169300028424000006,"оказание услуг по сопровождению автоматизированной системы «АЦК-Финансы», установленной в Финансовом управлении Кизильского муниципального района",62.02.30.000: Услуги по технической поддержке информационных технологий,10.01.2024
2879,№0152300011124000003,"Оказание услуг по обновлению и сопровождению ранее установленной справочно-правовой  системы ""Гарант""",62.03.12.130: Услуги по сопровождению компьютерных систем,09.01.2024
2880,№32413185900,"Оказание услуг по размещению рекламных материалов в сети Интернет для информирования потенциальных клиентов о реализации коммерческих помещений в ЖК ""Ватутинки парк"", расположенном по адресу: г. Москва, вн.тер.г. поселение Десеновское, улица Кварцевая, д.3, к.1-2",63.11.30.000: Место или время для рекламы в информационно-коммуникационной сети Интернет,18.01.2024
2881,№32413185762,ЭАУ012-24 Оказание услуг по сервисному обслуживанию и техническому сопровождению (спутниковому мониторингу) установленных систем мониторинга ГЛОНАСС на транспортных средствах Заказчика и техническому сопровождению программных и аппаратных подсистем диспетчерско-навигационной системы (ДНС),62.02.30.000: Услуги по технической поддержке информационных технологий,18.01.2024
2882,№0116300044824000002,Оказание услуг программиста,62.03.1: Услуги по управлению компьютерным оборудованием,11.01.2024
2883,№0116300044824000003,Оказание услуг по защите информации на автоматизированных рабочих местах государственных информационных систем РС(Я),62.02.3: Услуги по технической поддержке информационных технологий,11.01.2024
2884,№0116300044824000001,"Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в Управлении финансов Нюрбинского района экземплярами систем КонсультантПлюс для нужд Управления финансов Нюрбинского района","62.09.2: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки",11.01.2024
2885,№0116300044824000004,"Оказание услуг технической и консультационной поддержки ПК «Взаимодействие с порталом ""Электронный бюджет"" по приказу 243н»",62.02.3: Услуги по технической поддержке информационных технологий,11.01.2024
2886,№32413185344,"Услуги, связанные с поддержанием работоспособного состояния ПП 1С: Колледж",62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
2887,№32413185339,Услуги по предоставлению кода активации Такском,"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",17.01.2024
2888,№32413185324,Оказание услуг по технологическому обеспечению и сопровождению тренировочного мероприятия в формате основного государственного экзамена по математике 02.03.2024,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,17.01.2024
2889,№32413182417,Услуги по развитию единой системы электронного документооборота,62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем,17.01.2024
2890,№32413182554,Информационное абонентское обслуживание,62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2891,№32413185261,"Оказание услуг по подписке 1С:КП ГУ Базовый (комплект поддержки ""1С:Предприятия"") МАОУ «Школа №30» ",62.01.29.000: Оригиналы программного обеспечения прочие,17.01.2024
2892,№32413184637,Оказание услуг по установке программного обеспечения «Электронный кассир» и техническому сопровождению аппаратно-программного комплекса «Электронный кассир»,62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2893,№32413185175,"Внедрение, адаптация и сопровождение программы для ЭВМ и баз данных системы безналичной оплаты и учета питания (АСУП) в МАОУ «Школа №30»",62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2894,№32413184886,Оказание услуг по сопровождению информационного продукта,62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2895,№32413185140,"Текущее сопровождение, установка и настройка программных комплексов МАОУ «Школа № 30» (АЦК)",62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2896,№32413185128,Оказание услуг по сопровождению комплекса аппаратно-программных средств автоматизированной системы «Универсальная билетная система» в соответствии с Регламентом технического сопровождения и обслуживания,62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2897,№32413184349,"Техническая поддержка  системы ""Галактика EАМ"" ",62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
2898,№32413183152,"Предоставление неисключительного права использования электронной Базы данных ""Простая неисключительная лицензия""","63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",17.01.2024
2899,№32413184915,"Предоставление простого неисключительного права на использование экземпляра программ для ЭВМ: -1С:Управление недвижимостью и арендой КОРП. Модуль для 1С:Бухгалтерия 8 КОРП, 1С:Бухгалтерия КОРП МСФО и 1С:Управление холдингом. Электронная поставка, 1С:Управление недвижимостью и арендой КОРП, ERP. Клиентская лицензия на 5 рабочих мест. ",62.01.29.000: Оригиналы программного обеспечения прочие,17.01.2024
2900,№32413184899,Оказание услуг по обеспечению функционирования телефонной линии «РЭО Радар»,62.02.30: Услуги по технической поддержке информационных технологий,17.01.2024
2901,№0172300005424000001,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в Местной администрации внутригородского муниципального образования города федерального значения Санкт-Петербурга поселок Шушары экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы)","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",09.01.2024
2902,№32413182524,Передача неисключительных прав использования базы данных – электронной системы «Госфинансы»,63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя,17.01.2024
2903,№32413183245,"Услуги по  предоставлению справочной правовой ""Системы ГАРАНТ""",62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
2904,№32413184660,"Оказание услуг по установке, адаптации и тестированию разрабатываемого экземпляра (-ов) Электронного периодического справочника «Система ГАРАНТ» (базы данных, информационного продукта вычислительной техники) со встроенной функциональностью для обращения по каналам связи посредством телекоммуникационной сети Интернет к актуальным редакциям документов, включенных в экземпляр(-ы) текущей версии комплекта Электронного периодического справочника «Система ГАРАНТ»","63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",17.01.2024
2905,№32413183132,"Техническое обслуживание системы видеонаблюдения и сопровождения программного обеспечения,  ул. Рябоконева, 8; ул. Достоевского 2А",62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2906,№32413184563,Выполнение работ по автоматизации финансово-хозяйственной деятельности на базе систем программ «1С: Предприятие 8.3»,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,17.01.2024
2907,№32413183778,Услуга по адаптации и сопровождению экземпляров Систем Консультант Плюс,62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
2908,№32413164520,Оказание услуг по обеспечению бесперебойного функционирования системы дистанционного мониторинга и раннего обнаружения лесных пожаров «Лесохранитель» на территории Амурской области в 2024 году ,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",11.01.2024
2909,№32413184508,"Оказание услуг по адаптации и сопровождению экземпляров Системы ""КонсультантПлюс"" в 2024-2025 годах",62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
2910,№32413184475,"Оказание услуг по обслуживанию и сопровождению информационной автоматизированной системы бухгалтерского учета на базе программного продукта «1С:Бухгалтерия государственного учреждения», «Зарплата и кадры государственного учреждения», информационно-технологическое сопровождение «1С:Предприятие» (1С:КП ГУ ПРОФ непрерывное продление) в 2024-2025 годах",62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
2911,№32413183348,Услуги по предоставлению  информационно-консультационной системы (КонсультантПлюс),62.02.20: Услуги консультативные по вопросам систем и программному обеспечению,17.01.2024
2912,№32413184423,Оказание услуг по предоставлению доступа к электронным изданиям,63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя,17.01.2024
2913,№32413184382,"Оказание услуг по адаптации и сопровождению установленных у Заказчика экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, в том числе специальной копии Системы КонсультантПлюс.",62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
2914,№32413183591,"Оказание услуг по производству и размещению аналитических материалов о социально-экономическом, общественно-политическом развитии Ханты-Мансийского автономного округа – Югры на сайте информационного агентства, зарегистрированного в установленном законодательством РФ порядке в качестве средства массовой информации, распространяющего общественно-политическую и экономическую информацию",63.12: Содержание порталов в информационно-коммуникационной сети Интернет,17.01.2024
2915,№32413184344,Сопровождение лицензионного программного обеспечения,62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
2916,№32413184340,Оказание информационных услуг посредством предоставления (продления) доступа к Бухгалтерской Справочной Системе «Система Главбух» и Кадровой Справочной Системе «Система Кадры» (на 18 месяцев),"63.99.10: Услуги информационные прочие, не включенные в другие группировки",17.01.2024
2917,№32413184327,Поставка и сопровождение экземпляров Систем КонсультантПлюс,62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
2918,№32413184306,Услуги по сопровождению и обслуживание информационных автоматизированных систем бухгалтерского учета на программной платформе «1С: Предприятие 8»,62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
2919,№32413182321,использование сервиса 1С:КП ГУ ПРОФ ,62.01.29.000: Оригиналы программного обеспечения прочие,17.01.2024
2920,№32413183404,"Заказчик поручает, а Исполнитель оказывает услуги по информационному обслуживанию программных продуктов «1С: Бухгалтерия государственного учреждения 8», «1С: Зарплата и кадры бюджетного учреждения 8» (далее ПП). Перечень видов услуг указан в разделе 4",62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2921,№32413184087,Оказание услуг,62.09.20.120: Услуги по установке программного обеспечения,17.01.2024
2922,№32413184080,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в ОБУСО «СРЦ «Забота» города Курска» экземплярами Систем КонсультантПлюс, для нужд ОБУСО «СРЦ «Забота» города Курска»","63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",17.01.2024
2923,№0388200001124000001,"Оказание услуг по информационно-технологическому сопровождению программных продуктов ""1С: Бухгалтерия государственного учреждения 8"" и ""1С: Зарплата и кадры бюджетного учреждения 8""",62.02.30.000: Услуги по технической поддержке информационных технологий,10.01.2024
2924,№32413184038,"Оказание услуг по техническому и информационному сопровождению программного комплекса ""А0""",62.02.30: Услуги по технической поддержке информационных технологий,17.01.2024
2925,№32413184021,Оказание услуг по сервисному сопровождению лабораторной информационной системы ФГБУ «НМИЦ РК» Минздрава России на 1 квартал 2024 г,62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
2926,№32413183231,Услуга по предоставлению права использования программы для ЭВМ «Автоматизированная - информационная система «ЮРИС» (модуль «Образование»)» и базы данных «Справочно-правовая система «ЮРИС-образование» (простая неисключительная лицензия),63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя,17.01.2024
2927,№32413183899,Оказание услуг по сопровождению  программных продуктов «1С: Предприятие»  ,62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
2928,№32413183478,"Право заключения договора на предоставление места для размещения (опубликования) сообщения о возможном установлении публичного сервитута в газете «Саратовская панорама» и (или) размещение сообщения в сетевом издании «Панорама Саратова», электронный адрес в сети Интернет: www.sarpan.ru.","63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",17.01.2024
2929,№32413183177,"Оказание услуг по настройке и техническому обслуживанию локальной вычислительной сети, персональных компьютеров и периферийного оборудования ",62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2930,№32413183085,Информационные услуги по сопровождению экземпляров Системы КонсультантПлюс.,"62.09.20: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки",17.01.2024
2931,№32413181757,1С:КП ГУ ПРОФ на 12 месяцев. Льготная цена,62.01.29.000: Оригиналы программного обеспечения прочие,17.01.2024
2932,№32413181360,"услуги по ежемесячной модификации и сопровождению справочной правовой системы ""Консультант Плюс""",62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2933,№32413181356,Оказание услуг по информационному обслуживанию программного продукта  1-С,62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
2934,№32413183530,Оказание информационных услуг посредством предоставления (продления) доступа к Бухгалтерской Справочной Системе «Система Главбух» и Кадровой Справочной Системе «Система Кадры» ,"63.99.10: Услуги информационные прочие, не включенные в другие группировки",17.01.2024
2935,№32413183494,Оказание услуг по сопровождению программного продукта «1С: Предприятие» (1С: Зарплата и кадры государственного учреждения 8),62.02.30: Услуги по технической поддержке информационных технологий,17.01.2024
2936,№32413182756,Предоставление неисключительного права на использование программного обеспечения «Пира-мида 2.0» (Обновление лицензионного соглашения. Расширение ТУ электроэнергии),62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий,17.01.2024
2937,№32413183462,"Оказание услуг по начислению и сбору платежей за отопление и горячее водоснабжение с населения, проживающего в многоквартирном жилом фонде г. Великие Луки Псковской области на 1е полугодие 2024г.",63.11.11.000: Услуги по обработке данных,17.01.2024
2938,№32413182517,"Услуги, выполнение работ по обслуживанию программного обеспечения","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",17.01.2024
2939,№32413181251,"Услуги по информационно-технологическому сопровождению программных продуктов ""1С: Предприятие 8"" (1С: ИТС)",62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2940,№32413181914,"Услуги по адаптации, модификации и сопровождению программы для ЭВМ ""Парус-Бюджет 10""",62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2941,№32413181155,Оказание услуг  по абонементному информационно-технологическому сопровождению программных продуктов системы «1С:Предприятие» и информационно-консультационному обслуживанию Заказчика,62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2942,№32413183000,"Оказание информационных услуг с использованием экземпляров Системы Консультант Плюс (услуги по адаптации (установке, регистрации, тестированию, формированию в комплекты) и сопровождению)","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",17.01.2024
2943,№32413181211,"Справочная Правовая Система КонсультантПлюс (далее - Система КонсультантПлюс или Система) - совокупность многофункциональной программы для ЭВМ и набора текстовой информации (программное средство, информационный продукт вычислительной техники) ",63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя,17.01.2024
2944,№32413182727,оказание услуг и выполнение работ по созданию сайта и фирменного стиля Заказчика на CMS WordPress,63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет,17.01.2024
2945,№32413181200,"услуги по разработке, адаптации и модификации программных продуктов, входящих в Единый реестр российских программ для электронных вычислительных машин и баз данных, в соответствии со статьей 12.1 Федерального закона № 149-ФЗ от 27.07.2006 г. «Об информации, информационных технологиях и о защите информации», установленных у Заказчика (далее ПП):  «1С:Бухгалтерия государственного учреждения», номер в реестре 171 (регистрационный номер 800225456) «1С:Зарплата и кадры бюджетного учреждения», номер в реестре 309 (регистрационный номер 9641508)","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",17.01.2024
2946,№32413181883,Предоставление лицензии на использование информационно-аналитической системы Science Index на 2024 г.,"62.02: Услуги консультативные, связанные с компьютерной техникой",17.01.2024
2947,№32413182636,Услуги адаптации и сопровождения экземпляров систем Консультант Плюс,62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2948,№32413182627,Оказание услуг по сопровождению программы 1С «Зарплата и кадры» для нужд НПХ «Калинина»,62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
2949,№32413182624,Обслуживание персональных компьютеров МАОУ гимназия,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",17.01.2024
2950,№32413182566,"Оказание консультационных услуг по эксплуатации медицинской информационной системы «Инфоклиника», услуг по обслуживанию локальной вычислительной сети и рабочих мест пользователей в учреждении здравоохранения",62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
