sentiment,Классификация по ОКПД2_x,Наименование закупки_x,Реестровый номер закупки,Закупки по,Дата размещения
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200009923000007,44-ФЗ,06.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200039323000013,44-ФЗ,05.09.2023
Не подходит,62.02.3: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200048323000011,44-ФЗ,05.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Услуги по сопровождению справочно-правовой системы «Консультант Плюс»,№0384200000523000048,44-ФЗ,05.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,"Оказание услуг по предоставлению неисключительных прав (лицензий) на программное обеспечение по автоматизации функций государственного областного бюджетного учреждения, наделенного полномочиями, связанными с определением кадастровой стоимости в соответствии с требованиями Федерального закона от 3 июля 2016 г. N 237-ФЗ ""О государственной кадастровой оценке""",№0150200003923000889,44-ФЗ,01.09.2023
Не подходит,62.02.3: Услуги по технической поддержке информационных технологий,"Оказание услуг по поддержке программного продукта 1С – сопровождение программного обеспечения, консультация по программному обеспечению программных продуктов «1С:Бухгалтерия», «1С:Зарплата и Кадры» для Муниципального бюджетного учреждения ""Межведомственная централизованная бухгалтерия""",№0848300041023000295,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200042523000012,44-ФЗ,06.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Оказание услуг по предоставлению защищенного виртуального центра обработки данных и организации доступа (IaaS) для ГБУ РО «СП» по г.Батайску,№0358300385023000013,44-ФЗ,01.09.2023
Скорее да,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по модификации программного обеспечения Государственной информационной системы обеспечения градостроительной деятельности Республики Бурятия (ГИСОГД РБ) в части интеграции Системы с Единой информационной системой жилищного строительства (ЕИС ЖС),№0102200001623002694,44-ФЗ,31.08.2023
Подходит,"63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов; 58.29.5: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.02.3: Услуги по технической поддержке информационных технологий",Оказание услуг по организации интеллектуального мониторинга соблюдения этических норм и деонтологии в медицинских учреждениях Министерства здравоохранения Московской области,№0148200005423000595,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по предоставлению сертификатов технической поддержки и администрирования сегмента защищенной сети ViPNet Министерства здравоохранения РД,№0103200008423002796,44-ФЗ,04.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,оказание услуг по предоставлению (продлению) прав на программное обеспечение системы сбора и анализа событий информационной безопасности MaxPatrol SIEM на условиях простой (неисключительной) лицензии,№0167200003423005843,44-ФЗ,01.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Поставка сертификатов технической поддержки и лицензий на право использования программного обеспечения,№32312757080,223-ФЗ,12.09.2023
Не подходит,62.09.20.120: Услуги по установке программного обеспечения,Оказание услуг по сопровождению прикладного программного обеспечения 1С и анализ счетов в 2023 году для нужд Государственного бюджетного учреждения здравоохранения Самарской области «Самарская городская больница №6»,№0142200001323018945,44-ФЗ,31.08.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Оказание услуг по приобретению неисключительных прав на доступ к программному обеспечению «Здравпортал: Платные услуги» и сопровождению для нужд Государственного бюджетного учреждения здравоохранения Самарской области «Тольяттинская городская клиническая поликлиника №3»,№0142200001323018952,44-ФЗ,31.08.2023
Не подходит,58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.09.20.120: Услуги по установке программного обеспечения,"Оказание услуг по предоставлению прав на использование программного обеспечения на условиях простой (неисключительной) лицензии, его установке и настройке",№0187200001723001485,44-ФЗ,29.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Оказание услуг по технической поддержке информационной системы ""БАРС.Здравоохранение-ТФОМС""",№0269100000323000090,44-ФЗ,25.08.2023
Не подходит,62.02.3: Услуги по технической поддержке информационных технологий,Оказание услуг по продлению технической поддержки на программное обеспечение Dallas Lock 8.0-K,№0251100000823000188,44-ФЗ,30.08.2023
Не подходит,62.02.3: Услуги по технической поддержке информационных технологий,Оказание услуг по продлению технической поддержки на средство защиты информации vGate R2,№0251100000823000189,44-ФЗ,30.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по предоставлению ключа активации сервиса прямой технической поддержки уровня «Стандартный» средства защиты информации Secret Net Studio 8,№0843500000223005506,44-ФЗ,01.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Поставка лицензий на право использования программных средств защиты от вредоносного кода и сопутствующих информационных угроз,№0173200001423001345,44-ФЗ,31.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200017423000014,44-ФЗ,05.09.2023
Не подходит,58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.02.30.000: Услуги по технической поддержке информационных технологий,"Оказание услуги по предоставлению лицензии на право использовать компьютерное программное обеспечение, а также услуги по технической поддержке информационных технологий",№0855200000523002686,44-ФЗ,29.08.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Передача права на использование ПО VipNet Client for Windows 4.x(KC2) подключение к сети №3570,№0830300001223000113,44-ФЗ,01.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"Приобретение прав на лицензионное программное обеспечение Драйвер инвентаризации основных средств для ""1С Предприятие""",№0138100003723000075,44-ФЗ,30.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий; 58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение,"Оказание услуг по продлению неисключительных лицензионных прав на использование Континент 4 многофункционального узла безопасности (UTM) Расширенная версия и ключа активации сервиса прямой технической поддержки уровня ""Стандартный"" для Комплекса безопасно",№32312755985,223-ФЗ,12.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки","Оказание услуг по технической поддержке и обновлению до актуальной версии модуля АРМ «Поликлиника» «Комплексной медицинской информационной системы», функционирующего в медицинской организации",№0817200000323014054,44-ФЗ,31.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по технической поддержке автоматизированной информационной системы пенсионного обеспечения бывших работников органов и учреждений прокуратуры и членов их семей (АИС «Пенсия»),№0173100014123000091,44-ФЗ,01.09.2023
Не подходит,62.02.3: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200013823000001,44-ФЗ,05.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"оказание услуги по предоставлению сертификата на техническую поддержку программного продукта ""ПАРУС-Бюджет 8""",№32312755583,223-ФЗ,12.09.2023
Не подходит,58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.09.20.120: Услуги по установке программного обеспечения,"Услуги по внедрению цифрового продукта (Программа для ЭВМ ""1С-Битрикс24"")",№0455200000823000014,44-ФЗ,04.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Оказание услуг по продлению технической поддержки сети хранения данных,№0317300301923001361,44-ФЗ,31.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Услуги по техническому сопровождению комплекса средств межсетевого экранирования и криптографической защиты ViPNet в защищенной сети передачи данных,№0318200002623000022,44-ФЗ,04.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Оказание услуг по предоставлению неисключительных (пользовательских) прав на программное обеспечение для автоматизации формирования и актуализации внутренней документации Заказчика и оказание услуг по экспертному аудиту,№0307300020123000126,44-ФЗ,01.09.2023
Не подходит,62.09.20.120: Услуги по установке программного обеспечения,Оказание услуг по модернизации системы СУДОС «Цирконий-С2000» в части обновления программного обеспечения станционного оборудования системы физической защиты отделения губа Андреева СЗЦ «СевРАО» - филиала ФГУП «ФЭО»,№0573100002523000148,44-ФЗ,01.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200044823000004,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению ключа активации сервиса технической поддержки средства защиты информации,№0162300005323001697,44-ФЗ,31.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Оказание услуги по предоставлению сертификата на техническую поддержку  программного продукта ""ПАРУС- Бюджет 8""",№0318200018523000010,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200035223000004,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Услуги по предоставлению сертификата на техническую поддержку программного продукта""ПАРУС-Бюджет 8""",№0318200019223000005,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200049923000041,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий; 58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение,"Оказание услуг по продлению неисключительных лицензионных прав на использование Континент 4 многофункционального узла безопасности (UTM) Расширенная версия и ключа активации сервиса прямой технической поддержки уровня ""Стандартный"" для Комплекса безопасно",№32312754893,223-ФЗ,12.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по продлению срока технической поддержки программных продуктов IndorRoad и IndorMap,№0869200000223007489,44-ФЗ,31.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200028623000006,44-ФЗ,04.09.2023
Скорее да,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по сопровождению государственной информационной системы обеспечения градостроительной деятельности Ханты-Мансийского автономного округа – Югры,№0187200001723001484,44-ФЗ,29.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта ""ПАРУС-Бюджет 8""",№0318200050223000028,44-ФЗ,05.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Оказание услуг по сопровождению и развитию программных продуктов на платформе «1С:Предприятие 8.3 (""1С: Бухгалтерия государственного учреждения 8"", «1С:Зарплата и кадры бюджетного учреждения 8», 1С Медицина. Больничная аптека. Редакция 2.)",№0319300434723000116,44-ФЗ,31.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Услуги по предоставлению сертификата на оказание услуг по техническому сопровождению программных комплексов ViPNet Client,№0318200050223000026,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0818500005323000003,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта""ПАРУС-Бюджет 8""",№0318200013723000005,44-ФЗ,31.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"оказание услуги по предоставлению сертификата на техническую поддержку программного продукта ""ПАРУС-Бюджет 8""",№0318200022123000002,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200022923000052,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта ""ПАРУС-Бюджет 8""",№0318200033223000008,44-ФЗ,05.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Оказание услуг по консультационному сопровождению и администрированию программного продукта «1С: Предприятие 8» для нужд Арбитражного суда Орловской области в сфере ИКТ на 2023 - 2024 год.,№0154100005423000033,44-ФЗ,30.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Услуги по предоставлению права на использование антивирусного программного обеспечения на условиях простой (неисключительной) лицензии с сертификатом ФСТЭК и ФСБ,№0318300028423000192,44-ФЗ,31.08.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по сопровождению системы управления административно-хозяйственной деятельностью на основе имеющегося у Заказчика программного продукта «Парус – Бюджет 8»,№0826300021523000155,44-ФЗ,31.08.2023
Подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Программная система интеллектуального анализа данных (Data Mining),№0339100014823000587,44-ФЗ,11.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200040123000001,44-ФЗ,04.09.2023
Не подходит,"58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки","Оказание услуг по предоставлению неисключительных (пользовательских) прав на использование программ для ЭВМ для Государственной информационной системы обеспечения градостроительной деятельности Мурманской области, внедрение модуля и настройка",№0149200002323004490,44-ФЗ,01.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по передаче сертификатов технической поддержки и технического сопровождения ViPNet,№0818500001623000012,44-ФЗ,04.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Поставка программного средства антивирусной защиты,№0318200049923000040,44-ФЗ,01.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200031923000008,44-ФЗ,31.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий; 58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение,Электронный аукцион № ЭА 079-23 Оказание услуг по передаче неисключительных (пользовательских) лицензионных прав на использование программного обеспечения по продлению сертификата технической поддержки,№0867300000923000084,44-ФЗ,29.08.2023
Не подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,"Оказание услуг по развитию (созданию и внедрению) централизованной системы (подсистемы) «Организация оказания профилактической медицинской помощи (диспансеризация, диспансерное наблюдение, профилактические осмотры)» Орловской области, в том числе в целях обеспечения взаимодействия с ВИМИС «Профилактика» в части профилактики инфекционных болезней  и передачи всех видов СЭМД",№0154200000723000712,44-ФЗ,01.09.2023
Не подходит,62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем,"Оказание услуг по разработке программно-методического обеспечения профессиональных модулей образовательных программ профессионалитета по профессиям и специальностям по отрасли ""Правоохранительная сфера и управление""",№0348200029123000120,44-ФЗ,10.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Оказание услуг по сопровождению правовой системы ""Консультант Плюс"" для нужд Администрации Томского района",№0165300010123000108,44-ФЗ,31.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200005323000034,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Поставка сертификатов активации сервиса прямой технической поддержки продуктов ViPNet,№32312752690,223-ФЗ,11.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Оказание услуг по сопровождению программного продукта автоматизированной системы управления на базе конфигурации «Хлебозавод в редакции 1.0» на платформе «1С:Предприятие 8», «1С:Бухгалтерия 8 КОРП», «Зарплата и управление в редакции 3.1»и поддержанию установленного у заказчика программного обеспечения в актуальном состоянии",№32312752656,223-ФЗ,11.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по сопровождению ПК «Парус – Бюджет 10».,№0319300010123000617,44-ФЗ,30.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по предоставлению сертификата на осуществление технической поддержки программного средства защиты информации от несанкционированного доступа «Dallas Lock 8.0-K» (Реестровый номер 23.32.1855),№0152200004723001846,44-ФЗ,30.08.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Оказание услуг по предоставлению срочного неисключительного права на использование Программы «Эконом-Эксперт. Договоры» ,№0138200003823000002,44-ФЗ,03.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"Оказание услуг по разработке и поставке программного комплекса «Социальные службы (442-ФЗ)» и программного комплекса «Система долговременного ухода за гражданами пожилого возраста и инвалидами», интегрируемого с автоматизированной системой «Адресная социальная помощь»",№0310200000323002588,44-ФЗ,01.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Оказание услуг по передаче неисключительных (пользовательских) прав на программные средства антивирусной защиты,№0871300005723000058,44-ФЗ,01.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Услуги по техническому сопровождению комплекса средств криптографической защиты каналов связи  ViPNet и по предоставлению Сертификата технической поддержки производителя,№0318200016623000008,44-ФЗ,01.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки","Оказание услуг по сопровождению, информационному обслуживанию справочно-правовой системы «КонсультантПлюс», установленной у муниципального заказчика",№0126300029123000286,44-ФЗ,30.08.2023
Не подходит,62.02.3: Услуги по технической поддержке информационных технологий,"Продление технической поддержки TrueConf, расширения технической поддержки TrueConf до Linux для ВКС (ИД) для нужд АО «Газпром энергосбыт Тюмень» ",№32312731108,223-ФЗ,04.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Продление неисключительного права использования электронной Базы данных (простая неисключительная лицензия) для нужд СПб ГБУЗ «Городская больница № 9».,№0372200004723000147,44-ФЗ,31.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по сопровождению и техническому обслуживанию программных продуктов 1С: «1С: Бухгалтерия государственного учреждения 8»; «КАМИН: Зарплата для бюджетных учреждений. 5.5»; «1С: Медицина. Больничная аптека 8»: «Медицина. Расчет стоимости платных услуг»; «Медицина. Тарификация» для нужд государственного бюджетного учреждения здравоохранения Владимирской области «Областной кожно-венерологический диспансер»,№0328200018923000048,44-ФЗ,01.09.2023
Не подходит,"58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки","Оказание услуг по обновлению программного обеспечения, передаче сертификатов технической поддержки, проведению контроля обновленных средств защиты информации",№0187200001723001497,44-ФЗ,31.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200069523000007,44-ФЗ,04.09.2023
Не подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,Оказание услуг по предоставлению простой (неисключительной) лицензии и внедрению программного обеспечения для автоматизации диагностических процессов с применением системы поддержки принятия врачебных решений (СППВР) и технологий искусственного интеллекта,№0815500000523007983,44-ФЗ,15.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0818500005923000023,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку  программного продукта «ПАРУС-Бюджет 8»,№32312750843,223-ФЗ,11.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по по модернизации региональной информационной системы «Электронный колледж» способом установки и адаптации программы для ЭВМ и передачи права на ее использование,№0146500000323000010,44-ФЗ,31.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Передача права использования технической поддержки программного обеспечения,№0122200002523003758,44-ФЗ,01.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"Оказание услуг по обновлению и сопровождению комплекта Электронного периодического справочника ""Система ГАРАНТ"" (информационного продукта вычислительной техники)",№0871300005723000059,44-ФЗ,01.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,услуги на оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200023023000003,44-ФЗ,04.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200028923000003,44-ФЗ,01.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку  программного продукта «ПАРУС-Бюджет 8»,№0318200034323000105,44-ФЗ,04.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Поставка программных ключей на использование неисключительных лицензионных прав антивирусного программного обеспечения Kaspersky Endpoint Security для бизнеса – расширенный Russian Edition,№0368300000123001182,44-ФЗ,31.08.2023
